r,tmin,tmax,hmin,hmax,wmin,wmax,date,month
0,9.8,28.6,18.6,73.2,0,8.1,1,1
0,14.5,29.7,18.5,63.4,0,5.2,2,1
0,12.3,30.1,25.1,83.2,0,9.1,3,1
0,13.9,31.8,21.6,83.1,0,7.1,4,1
0,15.1,30.7,32.3,89,0,0.1,5,1
0,14.4,30.8,30.4,88.1,0,15.2,6,1
0,14.9,29.6,40.9,89.1,0,12,7,1
0,17.1,31.6,26.3,80.5,0,10.3,8,1
0,16.1,30.8,22.6,67.4,0,5.9,9,1
0,17,30.3,20.7,52,0,6.5,10,1
0,15.6,30.6,29.5,92.6,0,10,11,1
0,17.8,29.5,42.5,96.2,0,10.4,12,1
0,17.8,29.8,42.5,95.7,0,11.5,13,1
0,17.3,30.2,33.1,95.2,0,12.3,14,1
0,17.6,31.1,33.7,84.5,0,16.7,15,1
0,16.3,32.2,30.2,83.5,0,9.6,16,1
0,15.7,30.9,27.4,78.4,0,8.7,17,1
0,16.1,30.7,25,96,0,6.2,18,1
0,16.5,30.9,31,92.7,0,10,19,1
0,16.2,30.3,28.9,78.1,0,7.2,20,1
0,15.2,31.2,31.4,92.6,0,9.6,21,1
0,16.4,29.4,43.6,92.7,0,14.3,22,1
0,17.4,29.6,42.2,94,0,12.2,23,1
0,18.6,29.5,46.7,96.6,0,10.1,24,1
0,20,30,54.7,96.7,0.1,13.9,25,1
0,21.9,29.6,51.8,89.6,5.6,16.4,26,1
0,19.4,26.3,68.1,95.7,0,13.4,27,1
21.5,18.6,24.7,73.7,99.4,0.3,5.4,28,1
0,16.2,23.7,73.3,94.8,0,8.7,29,1
0,13.4,27.5,33.5,70.5,1.6,8.6,30,1
0,15.3,29.2,22.5,87.1,0,5.7,31,1
0,18.2,28.1,62.5,97.6,0,14.2,1,2
0,17,28.6,43,96.8,0,10.8,2,2
0,17.4,29.2,45.5,96.7,0,11.2,3,2
0,18,29.8,41.9,96.3,0,13.2,4,2
0,17.5,30.4,38.4,93.7,0,10.8,5,2
0,18.3,31,36.7,92.4,0,11.1,6,2
0,20,30.8,40.8,75.9,0,13.2,7,2
0,21.4,30.7,39.4,91.6,0,15.1,8,2
